seqNumber,docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,subsidiaryEdinetCode,currentReportReason,parentDocID,opeDateTime,withdrawalStatus,docInfoEditStatus,disclosureStatus,xbrlFlag,pdfFlag,attachDocFlag,englishDocFlag,csvFlag,legalStatus
1,S100V73M,E03575,83660,6160001000993,株式会社滋賀銀行,,010,170000,220,,,2025-02-10 09:00,自己株券買付状況報告書（法２４条の６第１項に基づくもの）,,,,,,,0,0,0,1,1,0,0,1,1
2,S100V3SB,E12444,,8010001114914,三井住友トラスト・アセットマネジメント株式会社,G12877,030,995000,180,,,2025-02-10 09:00,臨時報告書（内国特定有価証券）,,,,第29条第2項第14号,,,0,0,0,1,1,0,0,1,1
3,S100V2UM,E10439,,4010001027269,ピクテ・ジャパン株式会社,G04969,030,04A000,030,,,2025-02-10 09:00,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
4,S100V3KI,E12460,,7010001054021,野村アセットマネジメント株式会社,G14092,030,04A001,040,,,2025-02-10 09:00,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100UKTE,,0,0,0,1,1,1,0,1,1
5,S100V73Q,E01315,54640,2120101034032,モリ工業株式会社,,010,170000,220,,,2025-02-10 09:00,自己株券買付状況報告書（法２４条の６第１項に基づくもの）,,,,,,,0,0,0,1,1,0,0,1,1
6,S100V6HK,E09666,,9010001062807,アムンディ・ジャパン株式会社,G15444,030,04A000,030,,,2025-02-10 09:00,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
7,S100V686,E14601,,2010401079382,ＰａｙＰａｙアセットマネジメント株式会社,G12333,030,07A000,120,2024-05-11,2024-11-11,2025-02-10 09:00,有価証券報告書（内国投資信託受益証券）－第16期(2024/05/11－2024/11/11),,,,,,,0,0,0,1,1,1,0,1,1
8,S100V2UN,E10439,,4010001027269,ピクテ・ジャパン株式会社,G04969,030,07A000,120,2024-05-11,2024-11-11,2025-02-10 09:01,有価証券報告書（内国投資信託受益証券）－第37期(2024/05/11－2024/11/11),,,,,,,0,0,0,1,1,1,0,1,1
9,S100V45H,E12444,,8010001114914,三井住友トラスト・アセットマネジメント株式会社,G07649,030,10A000,160,2024-05-11,2025-05-12,2025-02-10 09:01,半期報告書（内国投資信託受益証券）－第16期(2024/05/11－2025/05/12),,,,,,,0,0,0,1,1,0,0,1,1
10,S100V4LL,E12444,,8010001114914,三井住友トラスト・アセットマネジメント株式会社,G08031,030,07A000,120,2024-05-11,2024-11-11,2025-02-10 09:01,有価証券報告書（内国投資信託受益証券）－第29期(2024/05/11－2024/11/11),,,,,,,0,0,0,1,1,1,0,1,1
11,S100V7KL,E34106,,6120001051124,株式会社ジェンス,,060,090001,360,,,2025-02-10 09:01,訂正報告書（大量保有報告書・変更報告書）,E02922,,,,S100UYDA,,0,0,0,1,1,1,0,1,1
12,S100V68B,E14601,,2010401079382,ＰａｙＰａｙアセットマネジメント株式会社,G12333,030,04A000,030,,,2025-02-10 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
13,S100V2UR,E10439,,4010001027269,ピクテ・ジャパン株式会社,G12578,030,04A000,030,,,2025-02-10 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
14,S100V7MC,E00811,41140,9120001077620,株式会社日本触媒,,010,170000,220,,,2025-02-10 09:02,自己株券買付状況報告書（法２４条の６第１項に基づくもの）,,,,,,,0,0,0,1,1,0,0,1,1
