seqNumber,docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,subsidiaryEdinetCode,currentReportReason,parentDocID,opeDateTime,withdrawalStatus,docInfoEditStatus,disclosureStatus,xbrlFlag,pdfFlag,attachDocFlag,englishDocFlag
1,S100PPI9,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G11812,030,07A000,120,2022-03-08,2022-09-06,2022-12-06 09:00,有価証券報告書（内国投資信託受益証券）－第51期(令和4年3月8日－令和4年9月6日),,,,,,,0,0,0,1,1,1,0
2,S100PPZ6,E12460,,7010001054021,野村アセットマネジメント株式会社,G07359,030,995000,180,,,2022-12-06 09:00,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0
3,S100PPZN,E12460,,7010001054021,野村アセットマネジメント株式会社,G07619,030,995000,180,,,2022-12-06 09:00,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0
4,S100PPZQ,E12460,,7010001054021,野村アセットマネジメント株式会社,G07827,030,995000,180,,,2022-12-06 09:01,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0
5,S100PPIF,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G12226,030,07A000,120,2021-09-07,2022-09-06,2022-12-06 09:01,有価証券報告書（内国投資信託受益証券）－第6期(令和3年9月7日－令和4年9月6日),,,,,,,0,0,0,1,1,1,0
6,S100PEWQ,E11518,,9010001034450,三菱ＵＦＪ国際投信株式会社,G09241,030,07A000,120,2022-03-08,2022-09-07,2022-12-06 09:02,有価証券報告書（内国投資信託受益証券）－第19期(令和4年3月8日－令和4年9月7日),,,,,,,0,0,0,1,1,1,0
7,S100PQHS,E06458,,6010001024529,ドイチェ・アセット・マネジメント株式会社,G06904,030,995000,180,,,2022-12-06 09:02,臨時報告書（内国特定有価証券）,,,,第29条第2項第12号,,,0,0,0,1,1,0,0
8,S100PPIA,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G12226,030,04A000,030,,,2022-12-06 09:02,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
9,S100PKM6,E11518,,9010001034450,三菱ＵＦＪ国際投信株式会社,G09241,030,04A001,040,,,2022-12-06 09:02,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100O3JB,,0,0,0,1,1,0,0
10,S100PPI6,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G11812,030,04A000,030,,,2022-12-06 09:02,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
11,S100PQOK,E00659,39410,1120001036880,レンゴー株式会社,,010,030001,130,,,2022-12-06 09:03,訂正有価証券報告書－第154期(令和3年4月1日－令和4年3月31日),,,,,S100OJ6E,,0,0,0,1,1,0,0
12,S100PR38,E00179,18670,8110001017149,株式会社植木組,,010,170000,220,,,2022-12-06 09:03,自己株券買付状況報告書（法２４条の６第１項に基づくもの）,,,,,,,0,0,0,1,1,0,0
13,S100PPIK,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G13056,030,07A000,120,2022-03-08,2022-09-06,2022-12-06 09:03,有価証券報告書（内国投資信託受益証券）－第8期(令和4年3月8日－令和4年9月6日),,,,,,,0,0,0,1,1,1,0
14,S100PPPG,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G14328,030,07A000,120,2022-03-08,2022-09-06,2022-12-06 09:03,有価証券報告書（内国投資信託受益証券）－第2期(令和4年3月8日－令和4年9月6日),,,,,,,0,0,0,1,1,1,0
15,S100PEWV,E11518,,9010001034450,三菱ＵＦＪ国際投信株式会社,G12352,030,07A000,120,2022-03-08,2022-09-07,2022-12-06 09:03,有価証券報告書（内国投資信託受益証券）－第12期(令和4年3月8日－令和4年9月7日),,,,,,,0,0,0,1,1,1,0
16,S100PKMA,E11518,,9010001034450,三菱ＵＦＪ国際投信株式会社,G12352,030,04A001,040,,,2022-12-06 09:03,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100O3JF,,0,0,0,1,1,0,0
17,S100PPP0,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G14328,030,04A000,030,,,2022-12-06 09:04,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
18,S100PPII,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G13056,030,04A000,030,,,2022-12-06 09:04,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
19,S100PQHR,E06458,,6010001024529,ドイチェ・アセット・マネジメント株式会社,G10135,030,995000,180,,,2022-12-06 09:04,臨時報告書（内国特定有価証券）,,,,第29条第2項第12号,,,0,0,0,1,1,0,0
20,S100PO0D,E06748,,2010001049257,大和アセットマネジメント株式会社,G11459,030,07A000,120,2022-03-15,2022-09-13,2022-12-06 09:05,有価証券報告書（内国投資信託受益証券）－第14期(令和4年3月15日－令和4年9月13日),,,,,,,0,0,0,1,1,1,0
21,S100POCW,E12566,,2010001066780,イーストスプリング・インベストメンツ株式会社,G08914,030,07A000,120,2022-03-08,2022-09-07,2022-12-06 09:05,有価証券報告書（内国投資信託受益証券）－第20期(令和4年3月8日－令和4年9月7日),,,,,,,0,0,0,1,1,1,0
22,S100PR5E,E05255,43350,3140001005782,株式会社アイ・ピー・エス,,010,170000,220,,,2022-12-06 09:05,自己株券買付状況報告書（法２４条の６第１項に基づくもの）,,,,,,,0,0,0,1,1,0,0
23,S100PO0E,E06748,,2010001049257,大和アセットマネジメント株式会社,G11459,030,04A000,030,,,2022-12-06 09:05,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
24,S100POD0,E12566,,2010001066780,イーストスプリング・インベストメンツ株式会社,G08914,030,04A000,030,,,2022-12-06 09:07,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
25,S100POUA,E06748,,2010001049257,大和アセットマネジメント株式会社,G12253,030,07A000,120,2022-03-15,2022-09-13,2022-12-06 09:07,有価証券報告書（内国投資信託受益証券）－第12期(令和4年3月15日－令和4年9月13日),,,,,,,0,0,0,1,1,1,0
26,S100POUC,E06748,,2010001049257,大和アセットマネジメント株式会社,G12253,030,04A000,030,,,2022-12-06 09:08,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
27,S100PPRD,E12437,,8010001011855,パインブリッジ・インベストメンツ株式会社,G04715,030,995000,180,,,2022-12-06 09:10,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0
28,S100POUE,E06748,,2010001049257,大和アセットマネジメント株式会社,G12254,030,07A000,120,2021-09-14,2022-09-13,2022-12-06 09:10,有価証券報告書（内国投資信託受益証券）－第6期(令和3年9月14日－令和4年9月13日),,,,,,,0,0,0,1,1,1,0
29,S100POUF,E06748,,2010001049257,大和アセットマネジメント株式会社,G12254,030,04A000,030,,,2022-12-06 09:11,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
30,S100PPRA,E12437,,8010001011855,パインブリッジ・インベストメンツ株式会社,G03840,030,995000,180,,,2022-12-06 09:11,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0
31,S100PQJ6,E12586,,6010001077097,シュローダー・インベストメント・マネジメント株式会社,,060,030000,350,,,2022-12-06 09:12,大量保有報告書（特例対象株券等）,E23492,,,,,,0,0,0,1,1,1,0
32,S100PR2Q,E04262,,5430001050054,新日本海フェリー株式会社,,010,053000,180,,,2022-12-06 09:12,臨時報告書,,,,第19条第2項第4号,,,0,0,0,1,1,0,0
33,S100PHVI,E12434,,7010001031160,ＳＯＭＰＯアセットマネジメント株式会社,G12278,030,995000,180,,,2022-12-06 09:13,臨時報告書（内国特定有価証券）,,,,第29条第2項第14号,,,0,0,0,1,1,0,0
34,S100PN69,E12434,,7010001031160,ＳＯＭＰＯアセットマネジメント株式会社,G12278,030,04A001,040,,,2022-12-06 09:14,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100N7P5,,0,0,0,1,1,0,0
35,S100PQS7,E32437,,2250001015730,ワイエムアセットマネジメント株式会社,G12277,030,995000,180,,,2022-12-06 09:14,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0
36,S100PQMB,E06228,,9010001063235,大和証券株式会社,,060,030002,350,,,2022-12-06 09:15,変更報告書（特例対象株券等）,E34819,,,,,,0,0,0,1,1,0,0
37,S100PO0F,E06748,,2010001049257,大和アセットマネジメント株式会社,G13827,030,07A000,120,2022-03-15,2022-09-13,2022-12-06 09:15,有価証券報告書（内国投資信託受益証券）－第5期(令和4年3月15日－令和4年9月13日),,,,,,,0,0,0,1,1,1,0
38,S100PHVJ,E12434,,7010001031160,ＳＯＭＰＯアセットマネジメント株式会社,G12281,030,995000,180,,,2022-12-06 09:15,臨時報告書（内国特定有価証券）,,,,第29条第2項第14号,,,0,0,0,1,1,0,0
39,S100PR5W,E00659,39410,1120001036880,レンゴー株式会社,,010,042100,135,,,2022-12-06 09:16,確認書,,,,,S100PQOK,,0,0,0,0,1,0,0
40,S100PO0G,E06748,,2010001049257,大和アセットマネジメント株式会社,G13827,030,04A000,030,,,2022-12-06 09:16,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
41,S100PCAE,E12441,,3010001062358,岡三アセットマネジメント株式会社,G03284,030,995000,180,,,2022-12-06 09:17,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0
42,S100PN6E,E12434,,7010001031160,ＳＯＭＰＯアセットマネジメント株式会社,G12281,030,04A001,040,,,2022-12-06 09:17,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100N7ZR,,0,0,0,1,1,0,0
