seqNumber,docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,subsidiaryEdinetCode,currentReportReason,parentDocID,opeDateTime,withdrawalStatus,docInfoEditStatus,disclosureStatus,xbrlFlag,pdfFlag,attachDocFlag,englishDocFlag
1,S100PLMR,E11764,,1010401064261,Ｔ＆Ｄアセットマネジメント株式会社,G07695,030,995000,180,,,2022-11-18 09:00,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0
2,S100PNSU,E01993,69180,6012301000127,株式会社アバールデータ,,010,053000,180,,,2022-11-18 09:00,臨時報告書,,,,第19条第2項第12号,,,0,0,0,1,1,0,0
3,S100P71Z,E12430,,8010401072159,日興アセットマネジメント株式会社,G01146,030,07A000,120,2021-08-20,2022-08-19,2022-11-18 09:00,有価証券報告書（内国投資信託受益証券）－第23期(令和3年8月20日－令和4年8月19日),,,,,,,0,0,0,1,1,1,0
4,S100PBWS,E12448,,8010401040306,明治安田アセットマネジメント株式会社,G11614,030,10A000,160,2022-02-22,2023-02-21,2022-11-18 09:00,半期報告書（内国投資信託受益証券）－第7期(令和4年2月22日－令和5年2月21日),,,,,,,0,0,0,1,1,0,0
5,S100PGFI,E06748,,2010001049257,大和アセットマネジメント株式会社,G11591,030,07A000,120,2022-03-01,2022-08-26,2022-11-18 09:01,有価証券報告書（内国投資信託受益証券）－第13期(令和4年3月1日－令和4年8月26日),,,,,,,0,0,0,1,1,1,0
6,S100P71X,E12430,,8010401072159,日興アセットマネジメント株式会社,G01146,030,04A000,030,,,2022-11-18 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
7,S100PA6B,E12460,,7010001054021,野村アセットマネジメント株式会社,G02861,030,07A000,120,2021-08-20,2022-08-19,2022-11-18 09:01,有価証券報告書（内国投資信託受益証券）－第61期(令和3年8月20日－令和4年8月19日),,,,,,,0,0,0,1,1,1,0
8,S100PA1E,E12460,,7010001054021,野村アセットマネジメント株式会社,G05039,030,07A000,120,2022-02-23,2022-08-22,2022-11-18 09:01,有価証券報告書（内国投資信託受益証券）－第31期(令和4年2月23日－令和4年8月22日),,,,,,,0,0,0,1,1,1,0
9,S100PGFO,E06748,,2010001049257,大和アセットマネジメント株式会社,G11591,030,04A000,030,,,2022-11-18 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
10,S100PND2,E12963,,2010401034817,ステート・ストリート・グローバル・アドバイザーズ株式会社,G11688,030,10A000,160,2022-02-22,2023-02-20,2022-11-18 09:02,半期報告書（内国投資信託受益証券）－第7期(令和4年2月22日－令和5年2月20日),,,,,,,0,0,0,1,1,0,0
11,S100P722,E12430,,8010401072159,日興アセットマネジメント株式会社,G03074,030,07A000,120,2021-08-20,2022-08-19,2022-11-18 09:02,有価証券報告書（内国投資信託受益証券）－第21期(令和3年8月20日－令和4年8月19日),,,,,,,0,0,0,1,1,1,0
12,S100PNAZ,E03572,83640,8080001001858,株式会社清水銀行,,010,043000,140,2022-07-01,2022-09-30,2022-11-18 09:02,四半期報告書－第148期第2四半期(令和4年7月1日－令和4年9月30日),,,,,,,0,0,0,1,1,0,0
13,S100PH1R,E12453,,9010001025953,ニッセイアセットマネジメント株式会社,G02740,030,10A000,160,2022-02-22,2023-02-20,2022-11-18 09:02,半期報告書（内国投資信託受益証券）－第22期(令和4年2月22日－令和5年2月20日),,,,,,,0,0,0,1,1,0,0
14,S100PH1V,E12453,,9010001025953,ニッセイアセットマネジメント株式会社,G02740,030,04A000,030,,,2022-11-18 09:02,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
15,S100PD7C,E12460,,7010001054021,野村アセットマネジメント株式会社,G02298,030,10A000,160,2022-02-22,2023-02-21,2022-11-18 09:02,半期報告書（内国投資信託受益証券）－第39期(令和4年2月22日－令和5年2月21日),,,,,,,0,0,0,1,1,0,0
16,S100PN9G,E00722,78700,2220001005602,福島印刷株式会社,,015,010000,235,,,2022-11-18 09:02,内部統制報告書－第70期(令和3年8月21日－令和4年8月20日),,,,,,,0,0,0,1,1,0,0
17,S100P721,E12430,,8010401072159,日興アセットマネジメント株式会社,G03074,030,04A000,030,,,2022-11-18 09:02,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
18,S100PJYZ,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G11803,030,07A000,120,2021-08-20,2022-08-19,2022-11-18 09:02,有価証券報告書（内国投資信託受益証券）－第61期(令和3年8月20日－令和4年8月19日),,,,,,,0,0,0,1,1,1,0
19,S100PA1G,E12460,,7010001054021,野村アセットマネジメント株式会社,G05039,030,04A000,030,,,2022-11-18 09:02,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
20,S100PND0,E12963,,2010401034817,ステート・ストリート・グローバル・アドバイザーズ株式会社,G11687,030,10A000,160,2022-02-22,2023-02-20,2022-11-18 09:03,半期報告書（内国投資信託受益証券）－第7期(令和4年2月22日－令和5年2月20日),,,,,,,0,0,0,1,1,0,0
21,S100PA6C,E12460,,7010001054021,野村アセットマネジメント株式会社,G02523,030,10A000,160,2022-02-22,2023-02-20,2022-11-18 09:03,半期報告書（内国投資信託受益証券）－第62期(令和4年2月22日－令和5年2月20日),,,,,,,0,0,0,1,1,0,0
22,S100PDXD,E12422,,4010001046310,しんきんアセットマネジメント投信株式会社,G14163,030,10A000,160,2022-02-26,2023-02-27,2022-11-18 09:03,半期報告書（内国投資信託受益証券）－第2期(令和4年2月26日－令和5年2月27日),,,,,,,0,0,0,1,1,0,0
23,S100PN9F,E00722,78700,2220001005602,福島印刷株式会社,,010,042000,135,,,2022-11-18 09:03,確認書,,,,,,,0,0,0,0,1,0,0
24,S100PH2N,E12453,,9010001025953,ニッセイアセットマネジメント株式会社,G10953,030,10A000,160,2022-02-22,2023-02-20,2022-11-18 09:03,半期報告書（内国投資信託受益証券）－第8期(令和4年2月22日－令和5年2月20日),,,,,,,0,0,0,1,1,0,0
25,S100PNB1,E03572,83640,8080001001858,株式会社清水銀行,,010,042000,135,,,2022-11-18 09:03,確認書,,,,,,,0,0,0,0,1,0,0
26,S100PA8Z,E11518,,9010001034450,三菱ＵＦＪ国際投信株式会社,G02520,030,10A000,160,2022-02-22,2023-02-20,2022-11-18 09:03,半期報告書（内国投資信託受益証券）－第62期(令和4年2月22日－令和5年2月20日),,,,,,,0,0,0,1,1,0,0
27,S100P21W,E12441,,3010001062358,岡三アセットマネジメント株式会社,G10225,030,07A000,120,2022-02-23,2022-08-22,2022-11-18 09:03,有価証券報告書（内国投資信託受益証券）－第17期(令和4年2月23日－令和4年8月22日),,,,,,,0,0,0,1,1,1,0
28,S100PGLL,E06748,,2010001049257,大和アセットマネジメント株式会社,G13531,030,07A000,120,2022-03-01,2022-08-26,2022-11-18 09:03,有価証券報告書（内国投資信託受益証券）－第6期(令和4年3月1日－令和4年8月26日),,,,,,,0,0,0,1,1,1,0
29,S100PD7H,E12460,,7010001054021,野村アセットマネジメント株式会社,G02298,030,04A001,040,,,2022-11-18 09:03,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100NU6Z,,0,0,0,1,1,0,0
30,S100P72A,E12430,,8010401072159,日興アセットマネジメント株式会社,G14241,030,07A000,120,2021-08-16,2022-08-18,2022-11-18 09:03,有価証券報告書（内国投資信託受益証券）－第1期(令和3年8月16日－令和4年8月18日),,,,,,,0,0,0,1,1,1,0
31,S100PH2O,E12453,,9010001025953,ニッセイアセットマネジメント株式会社,G10953,030,04A000,030,,,2022-11-18 09:03,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
32,S100PN9H,E00722,78700,2220001005602,福島印刷株式会社,,010,030000,120,2021-08-21,2022-08-20,2022-11-18 09:04,有価証券報告書－第70期(令和3年8月21日－令和4年8月20日),,,,,,,0,0,0,1,1,1,0
