seqNumber,docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,subsidiaryEdinetCode,currentReportReason,parentDocID,opeDateTime,withdrawalStatus,docInfoEditStatus,disclosureStatus,xbrlFlag,pdfFlag,attachDocFlag,englishDocFlag
1,S100POP1,E12444,,8010001114914,三井住友トラスト・アセットマネジメント株式会社,G03587,030,07A000,120,2022-03-23,2022-09-20,2022-12-20 09:00,有価証券報告書（内国投資信託受益証券）－第39期(令和4年3月23日－令和4年9月20日),,,,,,,0,0,0,1,1,1,0
2,S100PTCG,E06264,,6010001098507,ＪＰモルガン・アセット・マネジメント株式会社,G10586,030,995000,180,,,2022-12-20 09:00,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0
3,S100PSDA,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G11804,030,07A000,120,2021-09-22,2022-09-20,2022-12-20 09:00,有価証券報告書（内国投資信託受益証券）－第61期(令和3年9月22日－令和4年9月20日),,,,,,,0,0,0,1,1,1,0
4,S100PSDD,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G11874,030,07A000,120,2021-09-22,2022-09-20,2022-12-20 09:00,有価証券報告書（内国投資信託受益証券）－第14期(令和3年9月22日－令和4年9月20日),,,,,,,0,0,0,1,1,1,0
5,S100PSWD,E00055,18020,7010401088742,株式会社大林組,,010,110000,080,,,2022-12-20 09:00,発行登録書（株券､社債券等）,,,,,,,0,0,0,1,1,1,0
6,S100PSEI,E12447,,9011301011486,朝日ライフ　アセットマネジメント株式会社,G07866,030,995000,180,,,2022-12-20 09:00,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0
7,S100PKQ0,E09666,,9010001062807,アムンディ・ジャパン株式会社,G13544,030,07A000,120,2022-03-19,2022-09-20,2022-12-20 09:00,有価証券報告書（内国投資信託受益証券）－第6期(令和4年3月19日－令和4年9月20日),,,,,,,0,0,0,1,1,1,0
8,S100PSDK,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G11964,030,07A000,120,2021-09-22,2022-09-20,2022-12-20 09:01,有価証券報告書（内国投資信託受益証券）－第51期(令和3年9月22日－令和4年9月20日),,,,,,,0,0,0,1,1,1,0
9,S100PMVN,E10439,,4010001027269,ピクテ・ジャパン株式会社,G14318,030,04A000,030,,,2022-12-20 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
10,S100PS0W,E08957,,4010401049128,三井住友ＤＳアセットマネジメント株式会社,G13272,030,995000,180,,,2022-12-20 09:01,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0
11,S100PMVZ,E10439,,4010001027269,ピクテ・ジャパン株式会社,G14318,030,07A000,120,2021-10-15,2022-09-20,2022-12-20 09:01,有価証券報告書（内国投資信託受益証券）－第1期(令和3年10月15日－令和4年9月20日),,,,,,,0,0,0,1,1,1,0
12,S100PKQ5,E09666,,9010001062807,アムンディ・ジャパン株式会社,G13544,030,04A000,030,,,2022-12-20 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
