seqNumber,docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,subsidiaryEdinetCode,currentReportReason,parentDocID,opeDateTime,withdrawalStatus,docInfoEditStatus,disclosureStatus,xbrlFlag,pdfFlag,attachDocFlag,englishDocFlag
1,S100PU5J,E05487,37710,8180001030616,株式会社システムリサーチ,,010,042001,136,,,2022-12-22 09:00,訂正確認書,,,,,S100IZG5,,0,0,0,0,1,0,0
2,S100PUB5,E02040,68770,9021001027278,ＯＢＡＲＡ　ＧＲＯＵＰ株式会社,,010,053000,180,,,2022-12-22 09:00,臨時報告書,,,,第19条第2項第9号の2,,,0,0,0,1,1,0,0
3,S100PTDC,E12448,,8010401040306,明治安田アセットマネジメント株式会社,G08117,030,995000,180,,,2022-12-22 09:00,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0
4,S100PUNM,E37957,95620,5010001092774,ビジネスコーチ株式会社,,010,030000,120,2021-10-01,2022-09-30,2022-12-22 09:00,有価証券報告書－第18期(令和3年10月1日－令和4年9月30日),,,,,,,0,0,0,1,1,1,0
5,S100PSXI,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G11798,030,10A000,160,2022-03-23,2023-03-20,2022-12-22 09:00,半期報告書（内国投資信託受益証券）－第61期(令和4年3月23日－令和5年3月20日),,,,,,,0,0,0,1,1,0,0
6,S100PT4H,E12481,,1010401025734,フィデリティ投信株式会社,G11439,030,07A000,120,2021-09-28,2022-09-26,2022-12-22 09:00,有価証券報告書（内国投資信託受益証券）－第7期(令和3年9月28日－令和4年9月26日),,,,,,,0,0,0,1,1,1,0
7,S100PT0M,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G11958,030,10A000,160,2022-03-23,2023-03-22,2022-12-22 09:00,半期報告書（内国投資信託受益証券）－第52期(令和4年3月23日－令和5年3月22日),,,,,,,0,0,0,1,1,0,0
8,S100PUN5,E37957,95620,5010001092774,ビジネスコーチ株式会社,,010,042000,135,,,2022-12-22 09:00,確認書,,,,,,,0,0,0,0,1,0,0
9,S100PSY3,E12481,,1010401025734,フィデリティ投信株式会社,G13115,030,07A000,120,2021-09-28,2022-09-26,2022-12-22 09:00,有価証券報告書（内国投資信託受益証券）－第4期(令和3年9月28日－令和4年9月26日),,,,,,,0,0,0,1,1,1,0
10,S100PBVD,E12430,,8010401072159,日興アセットマネジメント株式会社,G10344,030,10A000,160,2022-03-23,2023-03-20,2022-12-22 09:01,半期報告書（内国投資信託受益証券）－第9期(令和4年3月23日－令和5年3月20日),,,,,,,0,0,0,1,1,0,0
