seqNumber,docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,subsidiaryEdinetCode,currentReportReason,parentDocID,opeDateTime,withdrawalStatus,docInfoEditStatus,disclosureStatus,xbrlFlag,pdfFlag,attachDocFlag,englishDocFlag,csvFlag,legalStatus
1,S100T0H8,E12481,,1010401025734,フィデリティ投信株式会社,G12325,030,07A000,120,2023-06-16,2023-12-15,2024-03-13 09:00,有価証券報告書（内国投資信託受益証券）－第14期(2023/06/16－2023/12/15),,,,,,,0,0,0,1,1,1,0,1,1
2,S100T0XX,E03575,83660,6160001000993,株式会社滋賀銀行,,010,170000,220,,,2024-03-13 09:00,自己株券買付状況報告書（法２４条の６第１項に基づくもの）,,,,,,,0,0,0,1,1,0,0,1,1
3,S100T0CZ,E14601,,2010401079382,ＰａｙＰａｙアセットマネジメント株式会社,G14569,030,10A000,160,2023-06-21,2024-06-20,2024-03-13 09:01,半期報告書（内国投資信託受益証券）－第2期(2023/06/21－2024/06/20),,,,,,,0,0,0,1,1,0,0,1,1
4,S100T033,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G15001,030,07A000,120,2023-09-28,2023-12-13,2024-03-13 09:02,有価証券報告書（内国投資信託受益証券）－第1期(2023/09/28－2023/12/13),,,,,,,0,0,0,1,1,1,0,1,1
5,S100SQ27,E12460,,7010001054021,野村アセットマネジメント株式会社,G08591,030,04A000,030,,,2024-03-13 09:02,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
6,S100T1HO,E01053,78560,7260001014438,萩原工業株式会社,,010,043000,140,2023-11-01,2024-01-31,2024-03-13 09:03,四半期報告書－第62期第1四半期(2023/11/01－2024/01/31),,,,,,,0,0,0,1,1,0,0,1,1
7,S100T07N,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G15001,030,04A001,040,,,2024-03-13 09:03,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100RTTX,,0,0,0,1,1,1,0,1,1
8,S100SXE1,E12434,,7010001031160,ＳＯＭＰＯアセットマネジメント株式会社,G09381,030,07A000,120,2023-06-15,2023-12-14,2024-03-13 09:03,有価証券報告書（内国投資信託受益証券）－第21期(2023/06/15－2023/12/14),,,,,,,0,0,0,1,1,1,0,1,1
9,S100T0HA,E12481,,1010401025734,フィデリティ投信株式会社,G12325,030,04A000,030,,,2024-03-13 09:03,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
10,S100T02C,E06264,,6010001098507,ＪＰモルガン・アセット・マネジメント株式会社,G01217,030,04A000,030,,,2024-03-13 09:04,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
11,S100T1HP,E01053,78560,7260001014438,萩原工業株式会社,,010,042000,135,,,2024-03-13 09:04,確認書,,,,,,,0,0,0,0,1,0,0,0,1
12,S100SQ24,E12460,,7010001054021,野村アセットマネジメント株式会社,G08591,030,07A000,120,2022-12-15,2023-12-14,2024-03-13 09:04,有価証券報告書（内国投資信託受益証券）－第12期(2022/12/15－2023/12/14),,,,,,,0,0,0,1,1,1,0,1,1
13,S100SY4N,E06748,,2010001049257,大和アセットマネジメント株式会社,G06762,030,07A000,120,2023-06-21,2023-12-20,2024-03-13 09:04,有価証券報告書（内国投資信託受益証券）－第32期(2023/06/21－2023/12/20),,,,,,,0,0,0,1,1,1,0,1,1
