seqNumber,docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,subsidiaryEdinetCode,currentReportReason,parentDocID,opeDateTime,withdrawalStatus,docInfoEditStatus,disclosureStatus,xbrlFlag,pdfFlag,attachDocFlag,englishDocFlag
1,S100PDG9,E11764,,1010401064261,Ｔ＆Ｄアセットマネジメント株式会社,G12171,030,07A000,120,2022-02-23,2022-08-22,2022-11-22 09:00,有価証券報告書（内国投資信託受益証券）－第12期(令和4年2月23日－令和4年8月22日),,,,,,,0,0,0,1,1,1,0
2,S100PDG8,E11764,,1010401064261,Ｔ＆Ｄアセットマネジメント株式会社,G12171,030,04A000,030,,,2022-11-22 09:00,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
3,S100PNBY,E12448,,8010401040306,明治安田アセットマネジメント株式会社,G08117,030,995000,180,,,2022-11-22 09:00,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0
4,S100PNX7,E03575,83660,6160001000993,株式会社滋賀銀行,,010,043000,140,2022-07-01,2022-09-30,2022-11-22 09:00,四半期報告書－第136期第2四半期(令和4年7月1日－令和4年9月30日),,,,,,,0,0,0,1,1,0,0
5,S100PNP4,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G05164,030,995000,180,,,2022-11-22 09:00,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0
6,S100PEF9,E12882,,7010001054095,農林中金全共連アセットマネジメント株式会社,G13749,030,04A000,030,,,2022-11-22 09:00,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
7,S100PIGG,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G06758,030,04A001,040,,,2022-11-22 09:00,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100PABA,,0,0,0,1,1,0,0
8,S100PGFU,E06748,,2010001049257,大和アセットマネジメント株式会社,G13097,030,07A000,120,2021-08-31,2022-08-30,2022-11-22 09:00,有価証券報告書（内国投資信託受益証券）－第4期(令和3年8月31日－令和4年8月30日),,,,,,,0,0,0,1,1,1,0
9,S100PBHV,E12460,,7010001054021,野村アセットマネジメント株式会社,G08788,030,07A000,120,2022-02-25,2022-08-24,2022-11-22 09:00,有価証券報告書（内国投資信託受益証券）－第21期(令和4年2月25日－令和4年8月24日),,,,,,,0,0,0,1,1,1,0
10,S100PMSA,E03575,83660,6160001000993,株式会社滋賀銀行,,010,042000,135,,,2022-11-22 09:01,確認書,,,,,,,0,0,0,0,1,0,0
11,S100PE1K,E12444,,8010001114914,三井住友トラスト・アセットマネジメント株式会社,G12735,030,07A000,120,2021-08-21,2022-08-22,2022-11-22 09:00,有価証券報告書（内国投資信託受益証券）－第5期(令和3年8月21日－令和4年8月22日),,,,,,,0,0,0,1,1,1,0
12,S100PMWF,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G12001,030,07A000,120,2021-08-24,2022-08-22,2022-11-22 09:01,有価証券報告書（内国投資信託受益証券）－第16期(令和3年8月24日－令和4年8月22日),,,,,,,0,0,0,1,1,1,0
13,S100PNQJ,E12444,,8010001114914,三井住友トラスト・アセットマネジメント株式会社,G14698,030,04A000,030,,,2022-11-22 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
14,S100PNBX,E26704,,6010001141324,カレラアセットマネジメント株式会社,G14028,030,995000,180,,,2022-11-22 09:01,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0
15,S100P76U,E30994,,8010001036852,いちよしアセットマネジメント株式会社,G13851,030,07A000,120,2021-08-21,2022-08-22,2022-11-22 09:01,有価証券報告書（内国投資信託受益証券）－第2期(令和3年8月21日－令和4年8月22日),,,,,,,0,0,0,1,1,1,0
16,S100PN17,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G10185,030,10A000,160,2022-02-25,2023-02-23,2022-11-22 09:01,半期報告書（内国投資信託受益証券）－第10期(令和4年2月25日－令和5年2月23日),,,,,,,0,0,0,1,1,0,0
17,S100PNBV,E26704,,6010001141324,カレラアセットマネジメント株式会社,G09056,030,995000,180,,,2022-11-22 09:01,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0
18,S100PMWC,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G12001,030,04A000,030,,,2022-11-22 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
19,S100PD3I,E11518,,9010001034450,三菱ＵＦＪ国際投信株式会社,G04747,030,04A000,030,,,2022-11-22 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
20,S100PEJL,E26704,,6010001141324,カレラアセットマネジメント株式会社,G14442,030,07A000,120,2022-02-25,2022-08-22,2022-11-22 09:01,有価証券報告書（内国投資信託受益証券）－第1期(令和4年2月25日－令和4年8月22日),,,,,,,0,0,0,1,1,1,0
21,S100PEJM,E26704,,6010001141324,カレラアセットマネジメント株式会社,G14442,030,04A001,040,,,2022-11-22 09:01,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100N6OG,,0,0,0,1,1,1,0
22,S100PEFA,E12882,,7010001054095,農林中金全共連アセットマネジメント株式会社,G13749,030,10A000,160,2022-02-23,2023-02-22,2022-11-22 09:02,半期報告書（内国投資信託受益証券）－第3期(令和4年2月23日－令和5年2月22日),,,,,,,0,0,0,1,1,0,0
23,S100P76T,E30994,,8010001036852,いちよしアセットマネジメント株式会社,G13851,030,04A000,030,,,2022-11-22 09:02,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
24,S100PMW5,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G11916,030,07A000,120,2022-02-23,2022-08-22,2022-11-22 09:02,有価証券報告書（内国投資信託受益証券）－第15期(令和4年2月23日－令和4年8月22日),,,,,,,0,0,0,1,1,1,0
