seqNumber,docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,subsidiaryEdinetCode,currentReportReason,parentDocID,opeDateTime,withdrawalStatus,docInfoEditStatus,disclosureStatus,xbrlFlag,pdfFlag,attachDocFlag,englishDocFlag,csvFlag,legalStatus
1,S100SQ3Q,E03641,85440,5040001000008,株式会社　京葉銀行,,010,170000,220,,,2024-02-06 09:00,自己株券買付状況報告書（法２４条の６第１項に基づくもの）,,,,,,,0,0,0,1,1,0,0,1,1
2,S100SO43,E00945,45280,7120001077374,小野薬品工業株式会社,,010,043000,140,2023-10-01,2023-12-31,2024-02-06 09:00,四半期報告書－第76期第3四半期(2023/10/01－2023/12/31),,,,,,,0,0,0,1,1,0,0,1,1
3,S100SQ2L,E03555,83360,6030001002490,株式会社武蔵野銀行,,010,043000,140,2023-10-01,2023-12-31,2024-02-06 09:00,四半期報告書－第101期第3四半期(2023/10/01－2023/12/31),,,,,,,0,0,0,1,1,0,0,1,1
4,S100SQ29,E04149,90220,3180001031569,東海旅客鉄道株式会社,,010,043000,140,2023-10-01,2023-12-31,2024-02-06 09:00,四半期報告書－第37期第3四半期(2023/10/01－2023/12/31),,,,,,,0,0,0,1,1,0,0,1,1
5,S100SQ9N,E02683,80230,2011101011783,大興電子通信株式会社,,010,170000,220,,,2024-02-06 09:00,自己株券買付状況報告書（法２４条の６第１項に基づくもの）,,,,,,,0,0,0,1,1,0,0,1,1
6,S100SQ39,E00945,45280,7120001077374,小野薬品工業株式会社,,010,042000,135,,,2024-02-06 09:00,確認書,,,,,,,0,0,0,0,1,0,0,0,1
7,S100SQ2M,E04149,90220,3180001031569,東海旅客鉄道株式会社,,010,042000,135,,,2024-02-06 09:00,確認書,,,,,,,0,0,0,0,1,0,0,0,1
8,S100SC92,E12430,,8010401072159,日興アセットマネジメント株式会社,G03517,030,07A000,120,2022-11-08,2023-11-06,2024-02-06 09:00,有価証券報告書（内国投資信託受益証券）－第21期(2022/11/08－2023/11/06),,,,,,,0,0,0,1,1,1,0,1,1
9,S100SNIA,E06748,,2010001049257,大和アセットマネジメント株式会社,G13172,030,07A000,120,2023-05-13,2023-11-13,2024-02-06 09:00,有価証券報告書（内国投資信託受益証券）－第10期(2023/05/13－2023/11/13),,,,,,,0,0,0,1,1,1,0,1,1
10,S100SOVC,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G04914,030,07A000,120,2023-05-09,2023-11-06,2024-02-06 09:01,有価証券報告書（内国投資信託受益証券）－第35期(2023/05/09－2023/11/06),,,,,,,0,0,0,1,1,1,0,1,1
11,S100SQ2Q,E03555,83360,6030001002490,株式会社武蔵野銀行,,010,042000,135,,,2024-02-06 09:01,確認書,,,,,,,0,0,0,0,1,0,0,0,1
12,S100SOQI,E09666,,9010001062807,アムンディ・ジャパン株式会社,G13502,030,995000,180,,,2024-02-06 09:01,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
13,S100SQ0C,E05462,87930,8010401021784,ＮＥＣキャピタルソリューション株式会社,,010,043000,140,2023-10-01,2023-12-31,2024-02-06 09:01,四半期報告書－第54期第3四半期(2023/10/01－2023/12/31),,,,,,,0,0,0,1,1,0,0,1,1
14,S100SIA3,E12448,,8010401040306,明治安田アセットマネジメント株式会社,G03455,030,04A000,030,,,2024-02-06 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
15,S100SC8Y,E12430,,8010401072159,日興アセットマネジメント株式会社,G03517,030,04A000,030,,,2024-02-06 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
16,S100SOIP,E08957,,4010401049128,三井住友ＤＳアセットマネジメント株式会社,G13367,030,04A001,040,,,2024-02-06 09:01,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100RV1H,,0,0,0,1,1,0,0,1,1
17,S100SOSZ,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G04914,030,04A000,030,,,2024-02-06 09:02,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
18,S100SNIH,E06748,,2010001049257,大和アセットマネジメント株式会社,G13172,030,04A000,030,,,2024-02-06 09:02,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
