seqNumber,docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,subsidiaryEdinetCode,currentReportReason,parentDocID,opeDateTime,withdrawalStatus,docInfoEditStatus,disclosureStatus,xbrlFlag,pdfFlag,attachDocFlag,englishDocFlag,csvFlag,legalStatus
1,S100S2JN,E14601,,2010401079382,ＰａｙＰａｙアセットマネジメント株式会社,G12333,030,04A001,040,,,2023-11-01 09:00,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100Q45I,,0,0,0,1,1,1,0,1,1
2,S100S2G6,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G11949,030,10A000,160,2023-02-02,2024-02-01,2023-11-01 09:00,半期報告書（内国投資信託受益証券）－第30期(2023/02/02－2024/02/01),,,,,,,0,0,0,1,1,0,0,1,1
3,S100S2GA,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G11950,030,10A000,160,2023-02-02,2024-02-01,2023-11-01 09:01,半期報告書（内国投資信託受益証券）－第30期(2023/02/02－2024/02/01),,,,,,,0,0,0,1,1,0,0,1,1
4,S100S2B6,E14703,,8010001014858,キャピタル・インターナショナル株式会社,G11661,030,04A001,040,,,2023-11-01 09:01,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100PD5X,,0,0,0,1,1,0,0,1,1
5,S100S28F,E06748,,2010001049257,大和アセットマネジメント株式会社,G10800,030,07A000,120,2023-02-09,2023-08-08,2023-11-01 09:01,有価証券報告書（内国投資信託受益証券）－第17期(2023/02/09－2023/08/08),,,,,,,0,0,0,1,1,1,0,1,1
6,S100S281,E12460,,7010001054021,野村アセットマネジメント株式会社,G04317,030,995000,180,,,2023-11-01 09:01,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
7,S100S146,E08957,,4010401049128,三井住友ＤＳアセットマネジメント株式会社,G13237,030,10A000,160,2023-02-08,2024-02-07,2023-11-01 09:01,半期報告書（内国投資信託受益証券）－第5期(2023/02/08－2024/02/07),,,,,,,0,0,0,1,1,0,0,1,1
8,S100RTMI,E12430,,8010401072159,日興アセットマネジメント株式会社,G01698,030,10A000,160,2023-02-02,2024-02-01,2023-11-01 09:02,半期報告書（内国投資信託受益証券）－第30期(2023/02/02－2024/02/01),,,,,,,0,0,0,1,1,0,0,1,1
9,S100S28H,E06748,,2010001049257,大和アセットマネジメント株式会社,G10800,030,04A000,030,,,2023-11-01 09:02,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
10,S100RTMG,E12430,,8010401072159,日興アセットマネジメント株式会社,G01698,030,04A000,030,,,2023-11-01 09:02,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
11,S100S3IN,E02002,79310,3200001014926,未来工業株式会社,,010,043000,140,2023-06-21,2023-09-20,2023-11-01 09:02,四半期報告書－第59期第2四半期(2023/06/21－2023/09/20),,,,,,,0,0,0,1,1,0,0,1,1
12,S100S282,E12460,,7010001054021,野村アセットマネジメント株式会社,G13180,030,995000,180,,,2023-11-01 09:03,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
13,S100S2EH,E12448,,8010401040306,明治安田アセットマネジメント株式会社,G15021,030,04A001,040,,,2023-11-01 09:03,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100RWZ6,,0,0,0,1,1,0,0,1,1
14,S100S147,E08957,,4010401049128,三井住友ＤＳアセットマネジメント株式会社,G13237,030,04A000,030,,,2023-11-01 09:03,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
15,S100S3IQ,E02002,79310,3200001014926,未来工業株式会社,,010,042000,135,,,2023-11-01 09:03,確認書,,,,,,,0,0,0,0,1,0,0,0,1
16,S100S2WB,E06748,,2010001049257,大和アセットマネジメント株式会社,G11335,030,995000,180,,,2023-11-01 09:03,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
17,S100S324,E06267,,,キャピタル・リサーチ・アンド・マネージメント・カンパニー,,060,010002,350,,,2023-11-01 09:04,変更報告書,E31070,,,,S100MMMA,,0,0,0,1,1,1,0,1,1
18,S100S2T3,E11518,,9010001034450,三菱ＵＦＪアセットマネジメント株式会社,G14174,030,04A001,040,,,2023-11-01 09:05,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100RFNJ,,0,0,0,1,1,1,0,1,1
19,S100S2WD,E06748,,2010001049257,大和アセットマネジメント株式会社,G11336,030,995000,180,,,2023-11-01 09:05,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
20,S100S2QN,E06433,,3010001034076,東京海上アセットマネジメント株式会社,G08961,030,995000,180,,,2023-11-01 09:07,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
21,S100S2OU,E06479,,7010401061146,インベスコ・アセット・マネジメント株式会社,G13677,030,04A000,030,,,2023-11-01 09:08,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
22,S100S2OW,E06479,,7010401061146,インベスコ・アセット・マネジメント株式会社,G13677,030,07A000,120,2022-08-06,2023-08-07,2023-11-01 09:08,有価証券報告書（内国投資信託受益証券）－第4期(2022/08/06－2023/08/07),,,,,,,0,0,0,1,1,1,0,1,1
23,S100S2OX,E06479,,7010401061146,インベスコ・アセット・マネジメント株式会社,G13678,030,04A000,030,,,2023-11-01 09:09,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
24,S100S2OY,E06479,,7010401061146,インベスコ・アセット・マネジメント株式会社,G13678,030,07A000,120,2022-08-06,2023-08-07,2023-11-01 09:09,有価証券報告書（内国投資信託受益証券）－第4期(2022/08/06－2023/08/07),,,,,,,0,0,0,1,1,1,0,1,1
25,S100S2P0,E06479,,7010401061146,インベスコ・アセット・マネジメント株式会社,G13679,030,04A000,030,,,2023-11-01 09:10,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
26,S100S1WF,E03133,82550,9110001023311,アクシアル　リテイリング株式会社,,010,170000,220,,,2023-11-01 09:10,自己株券買付状況報告書（法２４条の６第１項に基づくもの）,,,,,,,0,0,0,1,1,0,0,1,1
27,S100S2P2,E06479,,7010401061146,インベスコ・アセット・マネジメント株式会社,G13679,030,07A000,120,2022-08-06,2023-08-07,2023-11-01 09:12,有価証券報告書（内国投資信託受益証券）－第4期(2022/08/06－2023/08/07),,,,,,,0,0,0,1,1,1,0,1,1
28,S100S2P5,E06479,,7010401061146,インベスコ・アセット・マネジメント株式会社,G13680,030,04A000,030,,,2023-11-01 09:12,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
29,S100S2P7,E06479,,7010401061146,インベスコ・アセット・マネジメント株式会社,G13680,030,07A000,120,2022-08-06,2023-08-07,2023-11-01 09:12,有価証券報告書（内国投資信託受益証券）－第4期(2022/08/06－2023/08/07),,,,,,,0,0,0,1,1,1,0,1,1
30,S100S2G9,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G11950,030,04A000,030,,,2023-11-01 09:13,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
