seqNumber,docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,subsidiaryEdinetCode,currentReportReason,parentDocID,opeDateTime,withdrawalStatus,docInfoEditStatus,disclosureStatus,xbrlFlag,pdfFlag,attachDocFlag,englishDocFlag,csvFlag,legalStatus
1,S100TG8F,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G01521,030,07A000,120,2023-08-26,2024-02-26,2024-05-24 09:00,有価証券報告書（内国投資信託受益証券）－第46期(2023/08/26－2024/02/26),,,,,,,0,0,0,1,1,1,0,1,1
2,S100THLC,E37505,,,胡桃沢　精一,,060,010002,350,,,2024-05-24 09:00,変更報告書,E37432,,,,,,0,0,0,1,1,0,0,1,1
3,S100TGV5,E04931,97930,6180001006700,株式会社ダイセキ,,010,030000,120,2023-03-01,2024-02-29,2024-05-24 09:00,有価証券報告書－第66期(2023/03/01－2024/02/29),,,,,,,0,0,0,1,1,1,0,1,1
4,S100TEM4,E12444,,8010001114914,三井住友トラスト・アセットマネジメント株式会社,G14531,030,07A000,120,2023-02-28,2024-02-26,2024-05-24 09:00,有価証券報告書（内国投資信託受益証券）－第2期(2023/02/28－2024/02/26),,,,,,,0,0,0,1,1,1,0,1,1
5,S100T7VP,E12460,,7010001054021,野村アセットマネジメント株式会社,G02270,030,07A000,120,2023-08-29,2024-02-27,2024-05-24 09:00,有価証券報告書（内国投資信託受益証券）－第56期(2023/08/29－2024/02/27),,,,,,,0,0,0,1,1,1,0,1,1
6,S100TFU2,E06748,,2010001049257,大和アセットマネジメント株式会社,G03624,030,995000,180,,,2024-05-24 09:00,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
7,S100TG95,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G11819,030,07A000,120,2023-02-25,2024-02-26,2024-05-24 09:00,有価証券報告書（内国投資信託受益証券）－第24期(2023/02/25－2024/02/26),,,,,,,0,0,0,1,1,1,0,1,1
8,S100TH6L,E13343,,8010001040648,ＢＮＹメロン・インベストメント・マネジメント・ジャパン株式会社,G05366,030,995000,180,,,2024-05-24 09:00,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
9,S100TGY0,E04931,97930,6180001006700,株式会社ダイセキ,,010,042000,135,,,2024-05-24 09:00,確認書,,,,,,,0,0,0,0,1,0,0,0,1
10,S100T243,E12473,,4010001031576,ＵＢＳアセット・マネジメント株式会社,G03790,030,07A000,120,2023-02-28,2024-02-26,2024-05-24 09:00,有価証券報告書（内国投資信託受益証券）－第21期(2023/02/28－2024/02/26),,,,,,,0,0,0,1,1,1,0,1,1
11,S100TG9W,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G14634,030,10A000,160,2023-08-26,2024-08-26,2024-05-24 09:00,半期報告書（内国投資信託受益証券）－第2期(2023/08/26－2024/08/26),,,,,,,0,0,0,1,1,0,0,1,1
12,S100TG9Y,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G14635,030,10A000,160,2023-08-26,2024-08-26,2024-05-24 09:01,半期報告書（内国投資信託受益証券）－第2期(2023/08/26－2024/08/26),,,,,,,0,0,0,1,1,0,0,1,1
13,S100TGY2,E04931,97930,6180001006700,株式会社ダイセキ,,015,010000,235,,,2024-05-24 09:01,内部統制報告書－第66期(2023/03/01－2024/02/29),,,,,,,0,0,0,1,1,0,0,1,1
14,S100TA7R,E09666,,9010001062807,アムンディ・ジャパン株式会社,G04661,030,07A000,120,2023-08-26,2024-02-26,2024-05-24 09:01,有価証券報告書（内国投資信託受益証券）－第37期(2023/08/26－2024/02/26),,,,,,,0,0,0,1,1,1,0,1,1
15,S100T245,E12473,,4010001031576,ＵＢＳアセット・マネジメント株式会社,G03790,030,04A000,030,,,2024-05-24 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
16,S100TCFU,E12444,,8010001114914,三井住友トラスト・アセットマネジメント株式会社,G11647,030,07A000,120,2023-08-26,2024-02-26,2024-05-24 09:01,有価証券報告書（内国投資信託受益証券）－第16期(2023/08/26－2024/02/26),,,,,,,0,0,0,1,1,1,0,1,1
17,S100THJ1,E04931,97930,6180001006700,株式会社ダイセキ,,010,053000,180,,,2024-05-24 09:01,臨時報告書,,,,第19条第2項第9号の2,,,0,0,0,1,1,0,0,1,1
18,S100TH6M,E13343,,8010001040648,ＢＮＹメロン・インベストメント・マネジメント・ジャパン株式会社,G14354,030,995000,180,,,2024-05-24 09:01,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
19,S100TGSN,E03490,30650,4120901008761,株式会社ライフフーズ,,010,030000,120,2023-03-01,2024-02-29,2024-05-24 09:01,有価証券報告書－第38期(2023/03/01－2024/02/29),,,,,,,0,0,0,1,1,1,0,1,1
20,S100TFU5,E06748,,2010001049257,大和アセットマネジメント株式会社,G04560,030,995000,180,,,2024-05-24 09:01,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
21,S100TG9T,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G14634,030,04A000,030,,,2024-05-24 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
22,S100TG8Y,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G09136,030,07A000,120,2023-08-24,2024-02-26,2024-05-24 09:01,有価証券報告書（内国投資信託受益証券）－第22期(2023/08/24－2024/02/26),,,,,,,0,0,0,1,1,1,0,1,1
23,S100TG9X,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G14635,030,04A000,030,,,2024-05-24 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
24,S100T7VR,E12460,,7010001054021,野村アセットマネジメント株式会社,G02270,030,04A001,040,,,2024-05-24 09:01,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100S21G,,0,0,0,1,1,0,0,1,1
25,S100TG8E,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G01521,030,04A000,030,,,2024-05-24 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
26,S100TG93,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G11819,030,04A000,030,,,2024-05-24 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
27,S100TB1V,E11518,,9010001034450,三菱ＵＦＪアセットマネジメント株式会社,G11077,030,07A000,120,2023-02-25,2024-02-26,2024-05-24 09:02,有価証券報告書（内国投資信託受益証券）－第12期(2023/02/25－2024/02/26),,,,,,,0,0,0,1,1,1,0,1,1
28,S100T246,E12473,,4010001031576,ＵＢＳアセット・マネジメント株式会社,G05590,030,07A000,120,2023-02-28,2024-02-26,2024-05-24 09:02,有価証券報告書（内国投資信託受益証券）－第17期(2023/02/28－2024/02/26),,,,,,,0,0,0,1,1,1,0,1,1
29,S100TG9O,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G12896,030,07A000,120,2023-02-28,2024-02-26,2024-05-24 09:02,有価証券報告書（内国投資信託受益証券）－第6期(2023/02/28－2024/02/26),,,,,,,0,0,0,1,1,1,0,1,1
30,S100TAFF,E12448,,8010401040306,明治安田アセットマネジメント株式会社,G04101,030,10A000,160,2023-08-26,2024-08-25,2024-05-24 09:02,半期報告書（内国投資信託受益証券）－第20期(2023/08/26－2024/08/25),,,,,,,0,0,0,1,1,0,0,1,1
31,S100TH6O,E13343,,8010001040648,ＢＮＹメロン・インベストメント・マネジメント・ジャパン株式会社,G15062,030,995000,180,,,2024-05-24 09:02,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
32,S100TAAJ,E13447,,2010401045054,ＳＢＩアセットマネジメント株式会社,G13735,030,07A000,120,2023-02-28,2024-02-26,2024-05-24 09:02,有価証券報告書（内国投資信託受益証券）－第4期(2023/02/28－2024/02/26),,,,,,,0,0,0,1,1,1,0,1,1
33,S100TGA4,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G14743,030,07A000,120,2023-02-27,2024-02-26,2024-05-24 09:02,有価証券報告書（内国投資信託受益証券）－第1期(2023/02/27－2024/02/26),,,,,,,0,0,0,1,1,1,0,1,1
34,S100TFU7,E06748,,2010001049257,大和アセットマネジメント株式会社,G04687,030,995000,180,,,2024-05-24 09:02,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
35,S100TG8Q,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G09136,030,04A000,030,,,2024-05-24 09:02,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
36,S100TA7T,E09666,,9010001062807,アムンディ・ジャパン株式会社,G04661,030,04A000,030,,,2024-05-24 09:02,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
37,S100TGT2,E03490,30650,4120901008761,株式会社ライフフーズ,,010,042000,135,,,2024-05-24 09:02,確認書,,,,,,,0,0,0,0,1,0,0,0,1
38,S100TG99,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G12071,030,10A000,160,2023-08-26,2024-08-26,2024-05-24 09:02,半期報告書（内国投資信託受益証券）－第9期(2023/08/26－2024/08/26),,,,,,,0,0,0,1,1,0,0,1,1
39,S100T5ZG,E12460,,7010001054021,野村アセットマネジメント株式会社,G05083,030,10A000,160,2023-08-30,2024-08-29,2024-05-24 09:02,半期報告書（内国投資信託受益証券）－第18期(2023/08/30－2024/08/29),,,,,,,0,0,0,1,1,0,0,1,1
40,S100TABM,E12460,,7010001054021,野村アセットマネジメント株式会社,G01170,030,995000,180,,,2024-05-24 09:02,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
41,S100TG8L,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G05213,030,07A000,120,2023-02-28,2024-02-26,2024-05-24 09:03,有価証券報告書（内国投資信託受益証券）－第17期(2023/02/28－2024/02/26),,,,,,,0,0,0,1,1,1,0,1,1
42,S100TDOJ,E12447,,9011301011486,朝日ライフ　アセットマネジメント株式会社,G01276,030,07A000,120,2023-08-25,2024-02-26,2024-05-24 09:03,有価証券報告書（内国投資信託受益証券）－第48期(2023/08/25－2024/02/26),,,,,,,0,0,0,1,1,1,0,1,1
43,S100TAFG,E12448,,8010401040306,明治安田アセットマネジメント株式会社,G04101,030,04A000,030,,,2024-05-24 09:03,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
44,S100T248,E12473,,4010001031576,ＵＢＳアセット・マネジメント株式会社,G05590,030,04A000,030,,,2024-05-24 09:03,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
45,S100TGA0,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G14743,030,04A000,030,,,2024-05-24 09:03,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
46,S100TG9L,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G12896,030,04A000,030,,,2024-05-24 09:03,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
47,S100TB1U,E11518,,9010001034450,三菱ＵＦＪアセットマネジメント株式会社,G11077,030,04A000,030,,,2024-05-24 09:03,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
48,S100TGTB,E03490,30650,4120901008761,株式会社ライフフーズ,,015,010000,235,,,2024-05-24 09:03,内部統制報告書－第38期(2023/03/01－2024/02/29),,,,,,,0,0,0,1,1,0,0,1,1
49,S100THGI,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G15237,030,04A000,030,,,2024-05-24 09:03,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
50,S100TG97,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G12065,030,07A000,120,2023-02-28,2024-02-26,2024-05-24 09:03,有価証券報告書（内国投資信託受益証券）－第9期(2023/02/28－2024/02/26),,,,,,,0,0,0,1,1,1,0,1,1
51,S100TH6P,E13343,,8010001040648,ＢＮＹメロン・インベストメント・マネジメント・ジャパン株式会社,G14353,030,995000,180,,,2024-05-24 09:03,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
52,S100TFU9,E06748,,2010001049257,大和アセットマネジメント株式会社,G04857,030,995000,180,,,2024-05-24 09:03,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
53,S100T769,E12460,,7010001054021,野村アセットマネジメント株式会社,G07619,030,07A000,120,2023-08-26,2024-02-26,2024-05-24 09:03,有価証券報告書（内国投資信託受益証券）－第29期(2023/08/26－2024/02/26),,,,,,,0,0,0,1,1,1,0,1,1
