seqNumber,docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,subsidiaryEdinetCode,currentReportReason,parentDocID,opeDateTime,withdrawalStatus,docInfoEditStatus,disclosureStatus,xbrlFlag,pdfFlag,attachDocFlag,englishDocFlag,csvFlag,legalStatus
1,S100VYFV,E00945,45280,7120001077374,小野薬品工業株式会社,,010,053000,180,,,2025-06-20 09:00,臨時報告書,,,,第19条第2項第9号の2,,,0,0,0,1,1,0,0,1,1
2,S100VY47,E09096,,9010001125976,ブラックロック・ジャパン株式会社,G07726,030,10A000,160,2024-09-21,2025-09-18,2025-06-20 09:00,半期報告書（内国投資信託受益証券）－第30期(2024/09/21－2025/09/18),,,,,,,0,0,0,1,1,0,0,1,1
3,S100W06Z,E40674,365A0,9010401160598,伊澤タオル株式会社,,010,053000,180,,,2025-06-20 09:00,臨時報告書,,,,第19条第2項第4号,,,0,0,0,1,1,0,0,1,1
4,S100VW60,E12444,,8010001114914,三井住友トラスト・アセットマネジメント株式会社,G14906,030,10A000,160,2024-09-21,2025-09-22,2025-06-20 09:00,半期報告書（内国投資信託受益証券）－第2期(2024/09/21－2025/09/22),,,,,,,0,0,0,1,1,0,0,1,1
5,S100VSDK,E12460,,7010001054021,野村アセットマネジメント株式会社,G11117,030,07A000,120,2024-03-26,2025-03-24,2025-06-20 09:00,有価証券報告書（内国投資信託受益証券）－第10期(2024/03/26－2025/03/24),,,,,,,0,0,0,1,1,1,0,1,1
6,S100VWPP,E12425,,5010001048652,フランクリン・テンプルトン・ジャパン株式会社,G03803,030,995000,180,,,2025-06-20 09:00,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
7,S100VY3X,E09096,,9010001125976,ブラックロック・ジャパン株式会社,G07726,030,04A000,030,,,2025-06-20 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
8,S100VP8K,E12460,,7010001054021,野村アセットマネジメント株式会社,G11425,030,07A000,120,2024-09-28,2025-03-27,2025-06-20 09:01,有価証券報告書（内国投資信託受益証券）－第19期(2024/09/28－2025/03/27),,,,,,,0,0,0,1,1,1,0,1,1
9,S100VTO9,E08957,,4010401049128,三井住友ＤＳアセットマネジメント株式会社,G13320,030,04A001,040,,,2025-06-20 09:01,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100VER0,,0,0,0,1,1,0,0,1,1
10,S100VXFU,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G01625,030,07A000,120,2024-09-21,2025-03-21,2025-06-20 09:01,有価証券報告書（内国投資信託受益証券）－第53期(2024/09/21－2025/03/21),,,,,,,0,0,0,1,1,1,0,1,1
11,S100VSDM,E12460,,7010001054021,野村アセットマネジメント株式会社,G11117,030,04A000,030,,,2025-06-20 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
12,S100VV13,E26704,,6010001141324,カレラアセットマネジメント株式会社,G13890,030,07A000,120,2024-09-21,2025-03-21,2025-06-20 09:01,有価証券報告書（内国投資信託受益証券）－第9期(2024/09/21－2025/03/21),,,,,,,0,0,0,1,1,1,0,1,1
