seccode,market,jcn,name,pref,city,type,marketcap_m
1376,S,5070001000715,カネコ種苗株式会社,群馬県,前橋市,1,16541
1377,P,6020001008662,株式会社サカタのタネ,神奈川県,横浜市,1,191539
1375,P,1010001185037,株式会社雪国まいたけ,新潟県,南魚沼市,1,36079
1379,P,6100001003151,ホクト株式会社,長野県,長野市,1,60347
1381,S,5340001000258,株式会社アクシーズ,鹿児島県,鹿児島市,1,16482
1382,S,9450001002677,株式会社ホーブ,北海道,東神楽町,1,1425
1911,P,4010001090011,住友林業株式会社,東京都,千代田区,3,704303
1301,P,1010401033225,株式会社極洋,東京都,港区,1,41582
1332,P,1010001016860,株式会社ニッスイ,東京都,港区,1,230574
1333,P,2010601040697,マルハニチロ株式会社,東京都,江東区,1,131657
5711,P,6010001023786,三菱マテリアル株式会社,東京都,千代田区,7,321821
5713,P,9010401015273,住友金属鉱山株式会社,東京都,港区,7,1240613
5706,P,7010701011370,三井金属鉱業株式会社,東京都,品川区,7,220308
5729,S,2011101016386,日本精鉱株式会社,東京都,新宿区,7,6778
1491,S,7010001008720,中外鑛業株式会社,東京都,千代田区,7,8692
5714,P,1010001008750,ＤＯＷＡホールディングス株式会社,東京都,千代田区,7,294945
3315,P,5010601029770,日本コークス工業株式会社,東京都,江東区,2,35073
5715,P,7010001008803,古河機械金属株式会社,東京都,千代田区,7,83277
9675,S,9380001014473,常磐興産株式会社,福島県,いわき市,10,10729
8835,S,8010501031238,太平洋興発株式会社,東京都,台東区,13,5954
7021,S,4010401054508,株式会社ニッチツ,東京都,港区,8,3267
1515,P,5010001008730,日鉄鉱業株式会社,東京都,千代田区,2,77760
1518,P,5290001010634,三井松島ホールディングス株式会社,福岡県,福岡市,2,35352
1662,P,3010001108219,石油資源開発株式会社,東京都,千代田区,2,279102
1605,P,7010401078520,株式会社ＩＮＰＥＸ,東京都,港区,2,3020854
1925,P,6120001059662,大和ハウス工業株式会社,大阪府,大阪市,3,2799608
1801,P,4011101011880,大成建設株式会社,東京都,新宿区,3,1014458
1803,P,1010401013565,清水建設株式会社,東京都,中央区,3,816557
1802,P,7010401088742,株式会社大林組,東京都,港区,3,961772
1861,P,1210001001082,株式会社熊谷組,福井県,福井市,3,159797
1812,P,8010401006744,鹿島建設株式会社,東京都,港区,3,1339879
1887,P,3010401022812,日本国土開発株式会社,東京都,港区,3,56233
1820,P,8010401021454,西松建設株式会社,東京都,港区,3,199129
1805,P,8010001008703,飛島建設株式会社,東京都,港区,3,26668
1810,P,7010001034956,松井建設株式会社,東京都,中央区,3,23608
1815,P,2010001008709,鉄建建設株式会社,東京都,千代田区,3,32168
1882,P,7010401020201,東亜道路工業株式会社,東京都,港区,3,59717
1884,P,9010401023409,日本道路株式会社,東京都,港区,3,87453
1811,S,5120001049004,株式会社錢高組,大阪府,大阪市,3,28677
1941,P,9240001006971,株式会社中電工,広島県,広島市,3,142264
1942,P,9010401006818,株式会社関電工,東京都,港区,3,288225
1944,P,1120001063033,株式会社きんでん,大阪府,大阪市,3,482902
1946,P,8180001038758,株式会社トーエネック,愛知県,名古屋市,3,80799
1885,P,3011101055078,東亜建設工業株式会社,東京都,新宿区,3,82443
1888,P,6290801012011,若築建設株式会社,福岡県,北九州市,3,38675
1890,P,9120001077496,東洋建設株式会社,大阪府,大阪市,3,115510
1833,P,7120001004931,株式会社奥村組,大阪府,大阪市,3,175927
1821,P,2010001131477,三井住友建設株式会社,東京都,中央区,3,65232
1893,P,1010001000006,五洋建設株式会社,東京都,文京区,3,256040
1808,P,7010401024061,株式会社長谷工コーポレーション,東京都,港区,3,567900
1971,S,2010001034861,中央ビルト工業株式会社,東京都,中央区,3,1292
1945,P,6010401020680,株式会社東京エネシス,東京都,中央区,3,36926
1814,P,5120001083408,大末建設株式会社,大阪府,大阪市,3,14170
1951,P,3011001031955,エクシオグループ株式会社,東京都,渋谷区,3,340528
1822,P,3010001034869,大豊建設株式会社,東京都,中央区,3,68987
1813,P,4010001141053,株式会社不動テトラ,東京都,中央区,3,33424
1926,P,7010001008811,ライト工業株式会社,東京都,千代田区,3,106171
1841,S,9010801004850,サンユー建設株式会社,東京都,大田区,3,3784
1827,S,4010001008731,株式会社ナカノフドー建設,東京都,千代田区,3,13420
1961,P,2010001008683,三機工業株式会社,東京都,中央区,3,99440
1972,S,9010401038472,三晃金属工業株式会社,東京都,港区,3,18295
1835,P,6011101014147,東鉄工業株式会社,東京都,新宿区,3,104943
1968,P,4010001008748,太平電業株式会社,東京都,千代田区,3,82182
1949,P,7120001044515,住友電設株式会社,大阪府,大阪市,3,92760
1950,P,6010501016240,日本電設工業株式会社,東京都,台東区,3,124428
1847,P,7010501028268,株式会社イチケン,東京都,港区,3,15640
1850,S,3120001039386,南海辰村建設株式会社,大阪府,大阪市,3,9256
1964,P,2120001049015,中外爐工業株式会社,大阪府,大阪市,3,17129
1852,P,8120001022651,株式会社淺沼組,大阪府,大阪市,3,57439
1826,S,9070001001420,佐田建設株式会社,群馬県,前橋市,3,9468
1853,S,4120001077567,株式会社森組,大阪府,大阪市,3,10726
1897,S,8130001040495,金下建設株式会社,京都府,宮津市,3,10567
1934,P,4370001006286,株式会社ユアテック,宮城県,仙台市,3,70780
1967,S,5070001001977,株式会社ヤマト,群馬県,前橋市,3,25097
1929,P,7010001053304,日特建設株式会社,東京都,中央区,3,43985
1928,P,8120001059652,積水ハウス株式会社,大阪府,大阪市,3,1964062
1959,P,6290001001120,株式会社九電工,福岡県,福岡市,3,315845
1860,P,6010001034874,戸田建設株式会社,東京都,中央区,3,281163
1870,P,6180001018506,矢作建設工業株式会社,愛知県,名古屋市,3,59239
1969,P,3010001008749,高砂熱学工業株式会社,東京都,新宿区,3,216689
1975,P,5010401000023,株式会社朝日工業社,東京都,港区,3,33279
8157,P,9010401054908,都築電気株式会社,東京都,港区,10,44028
1976,P,1120001049032,明星工業株式会社,大阪府,大阪市,3,63210
8836,S,8010001128641,株式会社ＲＩＳＥ,東京都,港区,17,1728
1807,S,5010401031200,株式会社佐藤渡辺,東京都,港区,3,8309
1982,P,9010401025405,日比谷総合設備株式会社,東京都,港区,3,54497
1960,S,4010001008681,株式会社サンテック,東京都,千代田区,3,11560
1866,S,7100001000742,北野建設株式会社,長野県,長野市,3,21297
1898,P,1010401015438,世紀東急工業株式会社,東京都,港区,3,59580
1867,S,8110001017149,株式会社植木組,新潟県,柏崎市,3,9815
1939,P,7470001004244,株式会社四電工,香川県,高松市,3,48035
1992,S,6010001013597,神田通信機株式会社,東京都,千代田区,3,4415
1979,P,7011101011812,株式会社大氣社,東京都,新宿区,3,150279
1938,P,5011501002891,日本リーテック株式会社,東京都,千代田区,3,32996
9767,S,1011101015686,日建工学株式会社,東京都,新宿区,10,3300
1981,S,5011001006550,株式会社協和日成,東京都,中央区,3,16532
1980,P,6120001045084,ダイダン株式会社,大阪府,大阪市,3,68440
1899,P,9110001004880,株式会社福田組,新潟県,新潟市,3,44581
1873,P,6400001001397,株式会社日本ハウスホールディングス,東京都,千代田区,3,13320
1914,S,9120001072753,日本基礎技術株式会社,大阪府,大阪市,3,12707
1930,P,6230001003007,北陸電気工事株式会社,富山県,富山市,3,29544
9743,P,3010501007440,株式会社丹青社,東京都,港区,10,41693
1966,S,4290801010231,株式会社高田工業所,福岡県,北九州市,3,7163
1973,P,6010001135680,ＮＥＣネッツエスアイ株式会社,東京都,港区,10,312530
1878,P,4010401016607,大東建託株式会社,東京都,港区,17,1092021
1879,P,2040001003186,新日本建設株式会社,千葉県,千葉市,3,74921
1994,S,1010001049480,高橋カーテンウォール工業株式会社,東京都,中央区,3,4958
1965,S,3010401018661,株式会社テクノ菱和,東京都,港区,3,31289
1952,P,2010001062912,新日本空調株式会社,東京都,中央区,3,57476
1905,S,7010401018815,株式会社テノックス,東京都,港区,3,8501
1904,S,3010701005946,大成温調株式会社,東京都,品川区,3,15974
1848,S,6290001010204,株式会社富士ピー・エス,福岡県,福岡市,3,8278
1844,S,9011801002605,株式会社大盛工業,東京都,千代田区,3,3298
1840,S,7430001010659,株式会社土屋ホールディングス,北海道,札幌市,3,5645
1828,S,5110001019890,田辺工業株式会社,新潟県,上越市,3,14676
1997,S,7050001000351,暁飯島工業株式会社,茨城県,水戸市,3,3100
1799,S,4110001002922,第一建設工業株式会社,新潟県,新潟市,3,33916
1798,S,7100001003530,株式会社守谷商会,長野県,長野市,3,6601
1795,S,7010601006280,株式会社マサル,東京都,江東区,3,3005
1793,S,7260001001493,株式会社大本組,岡山県,岡山市,3,36691
1789,S,3011101040583,株式会社ＥＴＳホールディングス,東京都,豊島区,3,4322
1788,S,7160001005521,株式会社三東工業社,滋賀県,甲賀市,3,2226
1787,S,7010001053015,株式会社ナカボーテック,東京都,中央区,3,12986
1783,S,7010401066847,株式会社アジアゲートホールディングス,東京都,港区,3,7992
1780,P,6100001021418,株式会社ヤマウラ,長野県,駒ヶ根市,3,26485
1776,S,1011101036179,三井住建道路株式会社,東京都,新宿区,3,9491
1775,S,6020001077096,富士古河Ｅ＆Ｃ株式会社,神奈川県,川崎市,3,42064
1770,S,6070001008237,藤田エンジニアリング株式会社,群馬県,高崎市,3,12367
1768,S,6140001044324,株式会社ソネック,兵庫県,高砂市,3,7118
1766,P,1180001054828,東建コーポレーション株式会社,愛知県,名古屋市,3,107911
1764,S,5020001011279,工藤建設株式会社,神奈川県,横浜市,3,3343
1762,P,2120001056705,株式会社高松コンストラクショングループ,大阪府,大阪市,3,98467
1758,S,7180001019940,太洋基礎工業株式会社,愛知県,名古屋市,3,4883
1757,S,7010401063241,株式会社創建エース,東京都,新宿区,3,8030
1743,S,8340001001600,コーアツ工業株式会社,鹿児島県,鹿児島市,3,2700
1739,G,9130001012782,株式会社メルディアＤＣ,京都府,京都市,3,5086
1736,S,8010601001272,株式会社オーテック,東京都,江東区,3,16627
1730,S,7020001068771,麻生フオームクリート株式会社,神奈川県,川崎市,3,1443
8904,P,8180001036547,株式会社ＡＶＡＮＴＩＡ,愛知県,名古屋市,17,12443
1726,P,1240001015542,株式会社ビーアールホールディングス,広島県,広島市,3,16761
1723,S,1010601021483,日本電技株式会社,東京都,墨田区,3,34634
1718,S,8140001061763,美樹工業株式会社,兵庫県,姫路市,3,5305
1720,P,9011001040166,東急建設株式会社,東京都,渋谷区,3,82740
1719,P,2010401051696,株式会社安藤・間,東京都,港区,3,210166
1716,P,5021001007060,第一カッター興業株式会社,神奈川県,茅ヶ崎市,3,14640
1721,P,3010701014889,コムシスホールディングス株式会社,東京都,品川区,3,413098
1401,G,9250001004074,株式会社エムビーエス,山口県,宇部市,3,4152
1407,S,9240001016913,株式会社ウエストホールディングス,広島県,広島市,3,155803
1414,P,8010001135778,ショーボンドホールディングス株式会社,東京都,中央区,3,335080
2264,P,8010401029662,森永乳業株式会社,東京都,港区,1,274537
2282,P,6120001077615,日本ハム株式会社,大阪府,大阪市,1,451887
2281,P,6010701008888,プリマハム株式会社,東京都,品川区,1,115802
2266,P,6140001011869,六甲バター株式会社,兵庫県,神戸市,1,30441
2291,S,6240001010290,福留ハム株式会社,広島県,広島市,1,5018
2292,P,6140001069164,エスフーズ株式会社,兵庫県,西宮市,1,103257
2293,S,4060001017356,滝沢ハム株式会社,栃木県,栃木市,1,6548
1380,S,9250001000008,株式会社秋川牧園,山口県,山口市,1,4350
2001,P,9011001017684,株式会社ニップン,東京都,千代田区,1,179088
2002,P,8010001008736,株式会社日清製粉グループ本社,東京都,千代田区,1,685262
2003,S,3010001034893,日東富士製粉株式会社,東京都,中央区,1,44484
2004,P,3010001008690,昭和産業株式会社,東京都,千代田区,1,104505
2009,S,5290001055183,鳥越製粉株式会社,福岡県,うきは市,1,18590
2107,S,2010001034845,東洋精糖株式会社,東京都,中央区,1,10350
2108,P,8010401054826,日本甜菜製糖株式会社,東京都,港区,1,29011
2109,P,1010001034929,ＤＭ三井製糖ホールディングス株式会社,東京都,港区,1,99225
2114,S,5010001034982,フジ日本精糖株式会社,東京都,中央区,1,26684
2112,S,7010001079324,塩水港精糖株式会社,東京都,中央区,1,8715
2201,P,1010401029660,森永製菓株式会社,東京都,港区,1,256072
2209,P,5190001000125,井村屋グループ株式会社,三重県,津市,1,30491
2204,P,6011101015442,株式会社中村屋,東京都,新宿区,1,18496
2206,P,5120001049268,江崎グリコ株式会社,大阪府,大阪市,1,311464
2211,P,3010001034910,株式会社不二家,東京都,文京区,1,64539
2212,P,4010001008806,山崎製パン株式会社,東京都,千代田区,1,705346
2207,P,5180001027409,名糖産業株式会社,愛知県,名古屋市,1,27973
2215,S,8012701009955,第一屋製パン株式会社,東京都,小平市,1,3437
2216,S,9011201001240,カンロ株式会社,東京都,新宿区,1,34766
2208,S,6110001017563,株式会社ブルボン,新潟県,柏崎市,1,62879
2217,P,2140001002665,モロゾフ株式会社,兵庫県,神戸市,1,26936
2220,P,4110001006378,亀田製菓株式会社,新潟県,新潟市,1,87378
2221,S,5110001023736,岩塚製菓株式会社,新潟県,長岡市,1,30694
2222,P,1270001003263,寿スピリッツ株式会社,鳥取県,米子市,1,323975
2224,S,1180001075799,株式会社コモ,愛知県,小牧市,1,9993
2226,S,9011401005578,株式会社湖池屋,東京都,板橋区,1,45401
2501,P,4011001009265,サッポロホールディングス株式会社,東京都,渋谷区,1,423125
2502,P,6010601036386,アサヒグループホールディングス株式会社,東京都,墨田区,1,2818939
2503,P,5010001034768,キリンホールディングス株式会社,東京都,中野区,1,1961901
2531,P,4130001014981,宝ホールディングス株式会社,京都府,京都市,1,251622
2533,P,2010001034770,オエノンホールディングス株式会社,東京都,墨田区,1,26497
2540,P,2011001024084,養命酒製造株式会社,東京都,渋谷区,1,30410
2267,P,7010401029746,株式会社ヤクルト本社,東京都,港区,1,1252052
2573,S,9430001021794,北海道コカ・コーラボトリング株式会社,北海道,札幌市,1,35871
2593,P,3011001002279,株式会社伊藤園,東京都,渋谷区,1,436516
2579,P,4290001002946,コカ・コーラボトラーズジャパンホールディングス株式会社,東京都,港区,1,414290
2599,S,2040001059014,ジャパンフーズ株式会社,千葉県,長柄町,1,5763
2590,P,2120001083154,ダイドーグループホールディングス株式会社,大阪府,大阪市,1,97423
2602,P,1010001034887,日清オイリオグループ株式会社,東京都,中央区,1,142788
2607,P,8120001088461,不二製油グループ本社株式会社,大阪府,泉佐野市,1,209159
2612,S,9010701002351,かどや製油株式会社,東京都,品川区,1,32665
2613,P,6010001078021,株式会社Ｊ－オイルミルズ,東京都,中央区,1,60550
2801,P,2040001071167,キッコーマン株式会社,千葉県,野田市,1,1839952
2802,P,8010001034740,味の素株式会社,東京都,中央区,1,2941391
2053,P,2180001094757,中部飼料株式会社,愛知県,名古屋市,1,32893
2892,S,8010001133971,日本食品化工株式会社,東京都,千代田区,1,24736
2286,S,8250001006179,林兼産業株式会社,山口県,下関市,1,5123
2811,P,2180001035109,カゴメ株式会社,愛知県,名古屋市,1,296501
2871,P,8010001034889,株式会社ニチレイ,東京都,中央区,1,434673
2872,S,3110001002790,株式会社セイヒョー,新潟県,新潟市,1,3028
4229,P,7070001006735,群栄化学工業株式会社,群馬県,高崎市,4,28660
2805,S,6010001034750,ヱスビー食品株式会社,東京都,中央区,1,52786
2894,S,7040001016687,石井食品株式会社,千葉県,船橋市,1,5260
2055,S,7140001002355,日和産業株式会社,兵庫県,神戸市,1,5624
8006,S,6040001019014,ユアサ・フナショク株式会社,千葉県,船橋市,13,14840
2897,P,7120001057574,日清食品ホールディングス株式会社,大阪府,大阪市,1,1402002
2288,P,3120901012046,丸大食品株式会社,大阪府,高槻市,1,44609
2875,P,2010401020321,東洋水産株式会社,東京都,港区,1,887048
2810,P,2122001005872,ハウス食品グループ本社株式会社,大阪府,東大阪市,1,328346
2809,P,6011001006277,キユーピー株式会社,東京都,渋谷区,1,370801
2806,S,7180001092285,ユタカフーズ株式会社,愛知県,武豊町,1,15510
2804,P,6010001034924,ブルドックソース株式会社,東京都,中央区,1,29375
2899,P,6010401021134,株式会社永谷園ホールディングス,東京都,港区,1,44210
2901,S,6010001010603,石垣食品株式会社,東京都,千代田区,1,2130
2903,S,2120001049881,シノブフーズ株式会社,大阪府,大阪市,1,13637
2268,S,8010701008226,Ｂ－Ｒサーティワンアイスクリーム株式会社,東京都,品川区,1,40025
2812,S,1080001015385,焼津水産化学工業株式会社,静岡県,焼津市,1,13798
2904,P,5110001001304,一正蒲鉾株式会社,新潟県,新潟市,1,13459
