日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分,JCN,法人番号,住所,法人名,法人名(カナ),更新日時,企業ホームページ,事業概要,従業員数,代表者名,特許情報
20230929,1301,極洋,プライム（内国株式）,50,水産・農林業,1,食品 ,7,TOPIX Small 2,1010401033225,1010401033225,東京都港区赤坂３丁目３番５号,株式会社極洋,きょくよう,2018-04-26T00:00:00+09:00,http://www.kyokuyo.co.jp,水産物の輸出入・加工・販売。農水産物を中心とする冷凍食品、缶詰・珍味類の製造・販売。鰹・鮪の漁獲及び養殖から加工・販売まで行う総合食品会社。,779,代表取締役社長　　井　上　誠,特許 17件（練り製品 / 食用海老及びその製造方法 / エビの加熱加工品及びその製造方法 / 冷凍魚の縦割り方法および縦割り装置 / 魚介類の製造方法及び魚介類の製造装置、並びに魚介類の製造プログラム 他） 意匠 2件（加工魚 / シート状かまぼこ） 商標 56件（せんごく\鮮極 / 無限サーモン / 黒潮の極 / 海老フライの極 / 銀鱈魂 他）
20230929,1305,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ（年１回決算型）,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1306,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上場投信,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1308,上場インデックスファンドＴＯＰＩＸ,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1309,ＮＥＸＴ　ＦＵＮＤＳ　ＣｈｉｎａＡＭＣ・中国株式・上証５０連動型上場投信,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1311,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ　Ｃｏｒｅ　３０連動型上場投信,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1319,ＮＥＸＴ　ＦＵＮＤＳ　日経３００株価指数連動型上場投信,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1320,ｉＦｒｅｅＥＴＦ　日経２２５（年１回決算型）,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1321,ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上場投信,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1322,上場インデックスファンド中国Ａ株（パンダ）Ｅ　Ｆｕｎｄ　ＣＳＩ３００,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1324,ＮＥＸＴ　ＦＵＮＤＳ　ロシア株式指数連動型上場投信,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1325,ＮＥＸＴ　ＦＵＮＤＳ　ブラジル株式指数・ボベスパ連動型上場投信,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1326,ＳＰＤＲゴールド・シェア,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1328,ＮＥＸＴ　ＦＵＮＤＳ　金価格連動型上場投信,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1329,ｉシェアーズ・コア　日経２２５　ＥＴＦ,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1330,上場インデックスファンド２２５,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1332,ニッスイ,プライム（内国株式）,50,水産・農林業,1,食品 ,4,TOPIX Mid400,1010001016860,1010001016860,東京都港区西新橋１丁目３番１号,株式会社ニッスイ,にっすい,2022-12-06T00:00:00+09:00,https://www.nissui.co.jp/,世界中の水産資源へのアクセスを通じ、漁業、養殖生産、加工による「水産品」の販売、冷凍食品、缶詰、フィッシュソーセージ等の「食品」の製造販売、水産資源をベースとした「ファインケミカル事業」を事業の３つの柱としている。,2596,代表取締役社長執行役員　　浜　田　晋　吾,特許 12件（タンパク質加工食品の製造方法、及びタンパク質加工食品の製造装置 / 水産物識別方法、水産物識別プログラム、及び水産物識別システム / 十脚目幼生の飼育方法 / 頭足類用給餌装置、水槽、生簀 / 頭足類用給餌装置、水槽、生簀、頭足類の飼育方法 他） 意匠 3件（冷凍食品トレイ / 加工食品 / 包装用袋） 商標 348件（§8∞8本で\ハッピー笑顔! / §食べて\WINNER / EDAMAME SYUKAN / おでん日和 / §HAPPY TO EAT MOGMOG∞ハピもぐ 他）
